lead_id,age,income,policy_type,quote_requests_30d,social_engagement_score,location_risk_score,previous_insurance,credit_score_proxy,consent_given,consent_timestamp,conversion_score
INS_00002,46,81986,auto,1,8.379000508609879,3.515096397881181,yes,815,True,2025-11-09T15:12:05.965691,100.0
INS_00015,57,27359,auto,3,6.6430160025992855,9.403846154090576,yes,565,True,2025-11-01T15:12:05.965705,77.79606401046287
INS_00018,39,67761,auto,1,2.394968325010085,5.048895850799635,no,695,True,2025-09-09T15:12:05.965708,66.31104017204443
INS_00020,19,62960,auto,1,8.028491069882813,3.539837444966275,yes,708,False,2025-11-09T15:12:05.965710,100.0
INS_00022,61,108660,auto,1,6.9760450139436205,5.35233421676683,no,490,True,2025-10-18T15:12:05.965712,81.26214898622786
INS_00024,55,73367,auto,1,5.852222875080462,1.7932755799280375,yes,741,True,2025-08-15T15:12:05.965714,100.0
INS_00033,44,54463,auto,1,6.023670393482796,1.96526761141124,yes,754,True,2025-08-15T15:12:05.965723,93.29717303157112
INS_00034,59,27719,auto,2,6.500336842370485,7.315543306027912,no,746,True,2025-09-19T15:12:05.965724,76.32721943720632
INS_00036,33,78795,auto,2,1.3040388498034905,1.2498316229862865,yes,687,True,2025-10-08T15:12:05.965726,100.0
INS_00044,20,49988,auto,2,5.3409006072376455,4.345506981154395,no,701,True,2025-09-28T15:12:05.965733,92.0409414107652
INS_00050,56,49855,auto,4,0.353508210406942,9.425757066626971,yes,772,True,2025-09-05T15:12:05.965741,65.73466927256354
INS_00058,70,100561,auto,1,2.464925250702806,6.131892754659006,yes,728,True,2025-09-27T15:12:05.965749,63.85027534019258
INS_00061,45,73963,auto,6,5.853922110366443,2.6723833796717673,yes,650,True,2025-08-14T15:12:05.965752,100.0
INS_00068,31,41532,auto,1,5.69728669339117,4.6269135949307865,yes,776,True,2025-10-14T15:12:05.965759,100.0
INS_00069,34,35896,auto,1,6.462332147513839,1.2755195190737096,yes,534,True,2025-10-31T15:12:05.965760,100.0
INS_00070,53,35776,auto,0,5.571731665549406,5.019862874555256,no,810,True,2025-09-25T15:12:05.965761,91.05361192077751
INS_00074,19,52793,auto,1,8.095801204568598,1.8916924361016447,yes,761,True,2025-09-27T15:12:05.965764,100.0
INS_00080,46,47565,auto,1,5.080805361856736,1.7093030429310556,yes,702,True,2025-10-09T15:12:05.965771,97.29761145219264
INS_00082,43,124227,auto,4,3.8538175327486734,7.957913456817439,no,766,True,2025-08-17T15:12:05.965773,77.6238335087898
INS_00085,27,67123,auto,1,7.063876345584274,1.8954258187112516,yes,604,True,2025-08-27T15:12:05.965776,100.0
INS_00088,48,76126,auto,0,5.658969633550004,2.937964645031218,no,731,True,2025-09-05T15:12:05.965778,82.65252194840355
INS_00089,65,45040,auto,4,0.3605976206226713,5.025153777699239,yes,824,True,2025-10-12T15:12:05.965779,77.27322778472518
INS_00090,32,79557,auto,5,0.8524924501155029,9.78958991216223,no,567,True,2025-10-23T15:12:05.965780,67.96019346602046
INS_00092,31,27058,auto,1,7.356081065021166,8.619340215701806,yes,683,True,2025-09-25T15:12:05.965782,100.0
INS_00094,74,97265,auto,1,4.742415117703049,6.5759080610940215,yes,741,True,2025-08-23T15:12:05.965784,69.35556416504525
INS_00101,70,98495,auto,5,1.5551124275829564,2.0086394550406586,yes,661,True,2025-10-14T15:12:05.965791,89.40223270005316
INS_00104,42,103128,auto,7,0.4490027722017253,6.24897340771049,yes,726,True,2025-09-22T15:12:05.965794,67.26068728608384
INS_00106,58,48469,auto,3,0.0024088398716759,5.880310562292054,no,724,True,2025-11-04T15:12:05.965796,48.690912586337454
INS_00110,18,31270,auto,1,2.3300494797759583,3.8362914599017226,yes,760,True,2025-10-16T15:12:05.965802,89.35049272200641
INS_00111,42,32496,auto,2,8.109685984700397,4.994483547628587,no,670,True,2025-08-21T15:12:05.965803,90.61058801029704
INS_00112,24,101630,auto,0,5.018201158603004,5.4444843128824125,yes,704,True,2025-09-10T15:12:05.965804,100.0
INS_00116,61,18112,auto,2,9.704028006829068,8.786538872245192,yes,637,True,2025-10-25T15:12:05.965807,93.52057817315747
INS_00121,34,123279,auto,3,2.1408746858852137,5.308678563784815,no,668,True,2025-09-05T15:12:05.965812,67.37571117187738
INS_00122,25,58096,auto,2,9.334399892402596,7.629611808944466,no,801,True,2025-10-10T15:12:05.965813,88.04392841496818
INS_00125,50,36289,auto,4,3.5214788905551675,5.091207167687092,yes,612,True,2025-08-30T15:12:05.965816,87.07687708479399
INS_00131,24,68494,auto,2,7.064086402755006,2.3769439838056243,no,661,True,2025-09-10T15:12:05.965822,100.0
INS_00134,29,36381,auto,1,3.464988895203196,6.4188953699797935,yes,623,True,2025-10-29T15:12:05.965825,86.00426881494165
INS_00135,51,52055,auto,2,8.785904243758395,8.69584633077563,no,675,True,2025-10-24T15:12:05.965826,81.64003292525477
INS_00137,65,36096,auto,3,2.882029633232832,4.404623971863441,no,578,True,2025-10-23T15:12:05.965828,76.44768205547201
INS_00140,41,43273,auto,4,1.0079037073161956,8.337235909982311,yes,629,True,2025-08-28T15:12:05.965831,90.8629546546496
INS_00143,61,157527,auto,2,0.2881540105360569,8.392237904959956,yes,709,True,2025-09-25T15:12:05.965834,58.880791023501295
INS_00147,52,34513,auto,1,0.3052421593503218,6.31199627926308,yes,698,True,2025-10-11T15:12:05.965838,45.793282901113585
INS_00148,18,111847,auto,3,8.579195484604066,6.664155319247908,no,681,True,2025-09-03T15:12:05.965839,100.0
INS_00149,52,28069,auto,1,7.32463912934035,4.087105896553813,yes,781,True,2025-11-11T15:12:05.965840,100.0
INS_00150,54,110070,auto,5,3.784513124839842,4.858555785134991,yes,685,True,2025-08-17T15:12:05.965841,86.44366043039163
INS_00151,64,38784,auto,0,3.2863025831550265,6.022869174015848,yes,828,False,2025-10-29T15:12:05.965842,72.25262427749605
INS_00152,31,42505,auto,6,4.798201814074401,8.553550617296587,yes,639,True,2025-08-17T15:12:05.965843,97.3503632944967
INS_00161,26,55451,auto,1,1.3229552475222806,4.525915293087383,yes,658,True,2025-09-15T15:12:05.965851,75.43448514172427
INS_00172,49,30817,auto,2,7.030720219071459,8.684667173198932,yes,607,True,2025-08-27T15:12:05.965862,80.94710557595388
INS_00183,30,56161,auto,0,0.9391795792622047,3.2745453818774104,yes,750,True,2025-11-10T15:12:05.965872,85.20908078349441
INS_00184,49,96203,auto,0,9.995087956637745,8.571491340926766,no,647,True,2025-10-29T15:12:05.965873,80.36889470265027
INS_00194,23,108548,auto,4,3.002698358518022,4.514386257712855,yes,650,True,2025-11-04T15:12:05.965883,100.0
INS_00196,45,27241,auto,2,2.88648486009936,1.602678117609179,no,802,True,2025-10-27T15:12:05.965885,85.53210879042895
INS_00197,61,95132,auto,1,2.1342613396841106,8.090583186236296,no,625,True,2025-10-27T15:12:05.965886,60.75299325417718
INS_00198,61,83100,auto,2,5.362091710683334,7.083196586221102,no,646,True,2025-08-20T15:12:05.965887,76.07541163287262
INS_00212,30,49380,auto,1,1.8573106673517723,1.343664574115932,no,615,True,2025-08-19T15:12:05.965900,64.5651624546996
INS_00218,44,26829,auto,0,3.692688229555415,6.99307135158028,yes,752,True,2025-10-28T15:12:05.965906,70.46304744967463
INS_00219,26,48074,auto,3,5.477504591506191,2.541062743028978,no,680,True,2025-10-12T15:12:05.965907,100.0
INS_00232,69,140435,auto,3,6.248412440117078,4.599377767579765,yes,634,True,2025-08-24T15:12:05.965919,100.0
INS_00233,66,51513,auto,2,0.2887626926573639,9.07657004827072,no,810,True,2025-11-05T15:12:05.965920,27.23813430962814
INS_00252,49,104139,auto,2,4.44243920802322,2.648779013639157,yes,817,True,2025-09-21T15:12:05.965939,100.0
INS_00256,19,90703,auto,1,0.6029760135754969,6.192999331024024,yes,592,True,2025-08-20T15:12:05.965943,78.68612337040338
INS_00262,49,47121,auto,3,5.06649241678705,2.3828122448950513,no,608,True,2025-11-06T15:12:05.965949,85.04816420745539
INS_00267,73,59381,auto,1,9.768341706503843,6.717883516170369,yes,712,True,2025-11-05T15:12:05.965954,100.0
INS_00269,55,49609,auto,1,6.693911100886448,2.579038206207982,no,689,True,2025-09-30T15:12:05.965956,96.22863730480135
INS_00270,41,143574,auto,0,9.326204667558784,9.273173868321518,yes,750,True,2025-10-30T15:12:05.965957,100.0
INS_00272,69,42208,auto,3,8.595923912473854,3.0728738512675724,no,691,True,2025-10-19T15:12:05.965959,92.46730269621996
INS_00281,23,34250,auto,2,4.782720648259724,8.752149919887657,yes,601,True,2025-10-12T15:12:05.965967,100.0
INS_00290,36,33766,auto,3,2.098776716687892,3.337399720922117,yes,678,True,2025-11-01T15:12:05.965976,67.52954658302728
INS_00295,58,20534,auto,1,3.766972592935105,4.0719746956146965,no,789,True,2025-09-12T15:12:05.965981,67.91588420072632
INS_00303,45,132647,auto,1,6.521691270917569,1.1861981455788042,no,736,True,2025-10-10T15:12:05.965989,84.56409061528423
INS_00308,48,35649,auto,3,1.3326372288441557,8.699773644846132,no,614,True,2025-09-02T15:12:05.965994,35.24774799236255
INS_00309,47,86847,auto,1,5.796704351975396,9.632928453708342,yes,676,False,2025-08-20T15:12:05.965995,79.39120074414507
INS_00316,74,63125,auto,0,3.948277516556266,5.121669844449494,yes,632,True,2025-08-30T15:12:05.966002,87.9151279098168
INS_00322,29,41419,auto,2,7.738033312474814,3.2786166952833424,no,747,True,2025-08-30T15:12:05.966007,91.8520421328252
INS_00324,54,63340,auto,2,4.425112319453147,4.038260120033944,no,809,True,2025-09-09T15:12:05.966009,82.34355218701987
INS_00329,52,18669,auto,2,9.037419493093276,1.767860418212483,no,796,True,2025-11-02T15:12:05.966014,95.18040036388804
INS_00334,37,99470,auto,1,0.8115941089361423,3.658088990550545,no,632,True,2025-08-18T15:12:05.966019,67.01777648077422
INS_00337,73,181607,auto,1,5.784324380201994,8.19635158746283,yes,865,True,2025-10-28T15:12:05.966022,79.29105112790344
INS_00340,69,50621,auto,0,0.7374904884584155,7.0327903390035935,yes,639,True,2025-08-30T15:12:05.966025,55.62942616963247
INS_00343,25,40013,auto,1,9.150267805923956,9.294081181636102,yes,572,True,2025-08-25T15:12:05.966028,98.09082108025729
INS_00345,55,31501,auto,1,8.984633484785533,6.5076322869175485,yes,820,True,2025-09-20T15:12:05.966029,99.286833674704
INS_00354,35,34606,auto,1,4.372149690046685,3.66026857066108,yes,670,True,2025-10-03T15:12:05.966038,100.0
INS_00355,63,91045,auto,1,6.989326268452631,8.305815388394905,yes,611,True,2025-10-13T15:12:05.966039,88.12509020356306
INS_00359,52,70910,auto,3,5.0319832768498305,2.790371099125294,yes,907,True,2025-08-19T15:12:05.966043,100.0
INS_00360,33,21101,auto,0,0.1130868668010054,2.992843610741554,yes,632,True,2025-08-22T15:12:05.966044,54.11381504613324
INS_00364,21,70746,auto,2,5.90671235009169,1.5339177097175,yes,769,True,2025-11-03T15:12:05.966048,100.0
INS_00365,50,51595,auto,3,7.286688817626303,1.8129172334975896,yes,745,True,2025-11-11T15:12:05.966049,100.0
INS_00366,31,57235,auto,2,0.7077367014030544,3.352427518387269,no,770,True,2025-09-15T15:12:05.966050,67.99378702007915
INS_00373,20,61214,auto,2,3.3217328778848563,7.252517148729232,yes,761,True,2025-09-09T15:12:05.966057,75.46106131454484
INS_00375,50,45257,auto,1,9.655749797267385,2.9201503758256,yes,753,True,2025-10-27T15:12:05.966058,100.0
INS_00377,29,42973,auto,0,4.995353977440402,7.28222239683552,yes,720,False,2025-11-04T15:12:05.966060,86.28162091082618
INS_00382,63,31979,auto,1,3.2469285660001623,5.751426272741793,yes,674,True,2025-09-17T15:12:05.966065,82.7238603333843
INS_00390,44,53934,auto,1,3.2292256091067406,2.849877109361667,no,577,True,2025-08-19T15:12:05.966073,75.13883573313568
