lead_id,age,income,policy_type,quote_requests_30d,social_engagement_score,location_risk_score,previous_insurance,credit_score_proxy,consent_given,consent_timestamp,conversion_score
INS_00001,69,53974,health,2,0.46421385446754,2.0690597919193907,yes,730,True,2025-10-29T15:12:05.965688,56.11896801469712
INS_00004,60,42284,health,0,2.97419124229099,1.6996117172334553,no,705,True,2025-10-12T15:12:05.965694,84.41680806170571
INS_00005,25,34818,health,0,0.7393564351669757,6.961227236999627,yes,693,True,2025-10-15T15:12:05.965695,77.89747439869092
INS_00007,56,85566,health,2,2.984630367454768,9.724332619166196,no,724,True,2025-10-30T15:12:05.965697,38.98685566704759
INS_00010,28,59285,health,4,2.0982603594871696,9.337334038349768,yes,645,True,2025-11-01T15:12:05.965701,68.971535379163
INS_00012,41,40211,health,2,7.825624902926736,4.726212476402847,yes,654,True,2025-09-19T15:12:05.965703,100.0
INS_00021,41,80327,health,2,8.226335553161645,5.873280180703154,yes,639,True,2025-09-02T15:12:05.965711,95.65426797195374
INS_00027,50,32131,health,3,1.980007342202541,8.388152458316869,no,752,True,2025-10-15T15:12:05.965717,50.03241233154979
INS_00030,61,27913,health,1,0.4886995870706556,1.0391167342685113,yes,829,True,2025-10-08T15:12:05.965720,82.64709686393802
INS_00032,66,66632,health,4,6.431737953393419,7.846252237776162,yes,670,True,2025-10-23T15:12:05.965722,88.55264006531286
INS_00035,45,161408,health,1,6.313753076041545,1.1802094180199254,no,817,True,2025-09-30T15:12:05.965725,100.0
INS_00037,32,223487,health,0,2.3493677694891533,5.732409156380583,yes,640,True,2025-10-24T15:12:05.965727,78.23250648870234
INS_00040,61,88400,health,0,6.347445187232444,9.044481039852364,no,546,False,2025-10-30T15:12:05.965730,65.65547454488839
INS_00043,74,48888,health,2,5.981328297531396,3.9235173202635862,yes,721,True,2025-10-31T15:12:05.965732,98.05447499529627
INS_00049,26,35842,health,3,6.2984417687950165,9.525672670535728,yes,653,True,2025-09-15T15:12:05.965740,83.53484871396164
INS_00053,42,85376,health,2,7.7824076362644545,2.2401682099636817,no,756,True,2025-11-02T15:12:05.965744,100.0
INS_00054,31,112737,health,0,3.5025689480345266,3.009909149561544,yes,669,True,2025-09-03T15:12:05.965745,100.0
INS_00062,64,63242,health,3,3.3784061907484766,9.478227492181883,yes,683,True,2025-11-04T15:12:05.965752,75.9330551271441
INS_00065,25,26021,health,0,8.845314396280024,3.408104798134752,yes,850,True,2025-10-14T15:12:05.965756,100.0
INS_00076,71,35201,health,3,8.203005952826253,1.4278526360315362,yes,823,True,2025-09-26T15:12:05.965766,100.0
INS_00079,71,80003,health,2,2.9575169726353003,7.199301893758805,no,843,True,2025-08-19T15:12:05.965770,67.21539918340049
INS_00081,35,33937,health,4,1.3387708416345978,5.921250167877709,yes,583,True,2025-08-15T15:12:05.965772,77.81053552462384
INS_00083,61,25335,health,4,1.821581610790296,9.550538515440737,yes,784,True,2025-08-22T15:12:05.965774,54.52779899468419
INS_00091,25,63111,health,2,7.050840346141091,8.37916118563488,yes,772,True,2025-09-14T15:12:05.965781,87.56634125069995
INS_00100,64,102844,health,0,2.286751183866189,3.53855510489074,yes,745,True,2025-11-05T15:12:05.965790,83.44641444774665
INS_00102,41,90042,health,2,6.231106875880562,6.1082723335930895,yes,607,True,2025-11-08T15:12:05.965792,99.81801464825452
INS_00109,62,78433,health,2,2.098751090377239,8.308035454589126,yes,803,True,2025-10-03T15:12:05.965801,60.646761119213885
INS_00113,26,95681,health,1,6.985283570817397,8.764581813325703,yes,825,True,2025-09-23T15:12:05.965805,98.6363094155936
INS_00117,25,57674,health,1,5.656475633753974,8.48859377933881,yes,630,True,2025-10-10T15:12:05.965808,70.32402436824425
INS_00118,41,75138,health,0,1.309819037679124,7.782813825392579,yes,710,True,2025-10-26T15:12:05.965809,66.04101663738851
INS_00123,52,75161,health,1,8.809199954597526,8.920991484752825,yes,692,True,2025-08-30T15:12:05.965814,100.0
INS_00129,58,61081,health,2,6.997939421248166,5.93440252180732,yes,674,True,2025-10-26T15:12:05.965820,84.91952665679675
INS_00130,45,53158,health,0,6.539723257107664,6.866601566106421,no,892,True,2025-09-08T15:12:05.965821,80.28930476837714
INS_00132,26,67630,health,1,7.06699589028763,5.249620403253937,yes,736,True,2025-11-01T15:12:05.965823,100.0
INS_00141,54,88084,health,0,8.457068636520463,7.027276485625594,yes,664,True,2025-11-04T15:12:05.965832,100.0
INS_00145,39,43482,health,2,8.620349472569611,4.301916065538308,yes,732,True,2025-09-14T15:12:05.965836,100.0
INS_00153,20,55504,health,3,8.671017509378709,7.866180259866129,yes,637,True,2025-09-05T15:12:05.965844,100.0
INS_00155,22,95414,health,3,1.0096381124120113,3.209988250174526,yes,680,True,2025-08-22T15:12:05.965846,96.58621832351406
INS_00156,43,148252,health,1,8.6463637296105,1.239919524397247,yes,700,True,2025-09-30T15:12:05.965847,100.0
INS_00158,31,48236,health,1,9.109970222440646,3.0193792235221757,yes,707,True,2025-10-06T15:12:05.965849,100.0
INS_00160,44,78474,health,2,5.082227016882676,9.142728923569484,no,582,True,2025-10-23T15:12:05.965850,66.6960624181601
INS_00165,59,77690,health,5,6.832290511181625,9.216390135676884,yes,787,True,2025-10-21T15:12:05.965855,97.50984426770368
INS_00166,30,128049,health,1,1.8469377674232612,1.5147307304324191,no,843,True,2025-09-09T15:12:05.965856,100.0
INS_00168,49,51682,health,4,4.868485751034734,1.4423008955965937,yes,686,True,2025-08-24T15:12:05.965858,100.0
INS_00169,56,45980,health,4,6.072582053602069,6.548881788901462,yes,659,True,2025-10-05T15:12:05.965859,94.78470742617894
INS_00177,56,140190,health,2,7.324217759293368,3.7161391864180633,no,779,True,2025-09-04T15:12:05.965867,88.36102167849506
INS_00179,32,26091,health,0,3.3398421826600155,8.041055119644257,yes,722,True,2025-11-12T15:12:05.965869,77.73773748833526
INS_00180,60,39566,health,1,0.2713322486806613,1.474946090841585,no,728,True,2025-08-28T15:12:05.965870,42.17182501197161
INS_00192,74,126663,health,3,4.426778745441416,3.3921663522419654,yes,768,True,2025-11-02T15:12:05.965881,89.49495416400266
INS_00199,37,27770,health,1,6.709580340702979,4.70618402145943,no,713,True,2025-09-13T15:12:05.965888,67.50114135440816
