lead_id,age,income,policy_type,quote_requests_30d,social_engagement_score,location_risk_score,previous_insurance,credit_score_proxy,consent_given,consent_timestamp,conversion_score
INS_00000,56,81572,life,1,7.347384757650869,5.631971848677821,yes,712,True,2025-08-23T15:12:05.965672,100.0
INS_00001,69,53974,health,2,0.46421385446754004,2.0690597919193907,yes,730,True,2025-10-29T15:12:05.965688,56.11896801469712
INS_00002,46,81986,auto,1,8.379000508609879,3.515096397881181,yes,815,True,2025-11-09T15:12:05.965691,100.0
INS_00003,32,31739,life,2,9.05414813336102,7.173832233639181,yes,728,True,2025-10-08T15:12:05.965693,100.0
INS_00004,60,42284,health,0,2.97419124229099,1.6996117172334553,no,705,True,2025-10-12T15:12:05.965694,84.41680806170571
INS_00005,25,34818,health,0,0.7393564351669757,6.961227236999627,yes,693,True,2025-10-15T15:12:05.965695,77.89747439869092
INS_00006,38,75719,home,0,4.806845363474286,9.107300088507673,no,689,True,2025-10-26T15:12:05.965696,68.57568124007673
INS_00007,56,85566,health,2,2.984630367454768,9.724332619166196,no,724,True,2025-10-30T15:12:05.965697,38.98685566704759
INS_00008,36,55441,life,5,4.17136142810379,2.9496898092296395,yes,809,True,2025-08-18T15:12:05.965698,100.0
INS_00009,40,38697,life,3,6.649854534886802,7.740081609470883,yes,651,True,2025-09-04T15:12:05.965700,86.70083491134577
INS_00010,28,59285,health,4,2.0982603594871696,9.337334038349768,yes,645,True,2025-11-01T15:12:05.965701,68.971535379163
INS_00011,28,46943,life,1,3.5695156951408635,1.822323797644924,yes,802,True,2025-08-29T15:12:05.965702,100.0
INS_00012,41,40211,health,2,7.825624902926736,4.726212476402847,yes,654,True,2025-09-19T15:12:05.965703,100.0
INS_00013,70,70933,life,3,6.437619499528217,9.274687901849495,yes,717,True,2025-11-08T15:12:05.965704,78.63369560860642
INS_00014,53,40986,home,2,3.2627549115123866,2.825087484293471,yes,652,True,2025-11-09T15:12:05.965705,79.33801730208909
INS_00015,57,27359,auto,3,6.6430160025992855,9.403846154090576,yes,565,True,2025-11-01T15:12:05.965705,77.79606401046287
INS_00016,41,30575,home,5,7.653129228919666,5.744728639790006,yes,715,True,2025-10-16T15:12:05.965706,100.0
INS_00017,20,26859,home,3,5.924855809527875,1.8990377428380012,yes,789,True,2025-10-14T15:12:05.965707,100.0
INS_00018,39,67761,auto,1,2.394968325010085,5.048895850799635,no,695,True,2025-09-09T15:12:05.965708,66.31104017204443
INS_00019,70,64550,life,2,0.0024529051199306817,3.936350759203596,yes,581,True,2025-08-27T15:12:05.965709,67.60868057763977
INS_00020,19,62960,auto,1,8.028491069882813,3.539837444966275,yes,708,False,2025-11-09T15:12:05.965710,100.0
INS_00021,41,80327,health,2,8.226335553161645,5.873280180703154,yes,639,True,2025-09-02T15:12:05.965711,95.65426797195374
INS_00022,61,108660,auto,1,6.9760450139436205,5.35233421676683,no,490,True,2025-10-18T15:12:05.965712,81.26214898622786
INS_00023,47,44527,home,2,0.7658093136761379,5.337704436580828,yes,693,True,2025-08-21T15:12:05.965713,83.9734597324172
INS_00024,55,73367,auto,1,5.852222875080462,1.7932755799280375,yes,741,True,2025-08-15T15:12:05.965714,100.0
INS_00025,19,27178,life,3,8.210206712716072,8.22086362924423,yes,794,True,2025-09-04T15:12:05.965715,100.0
INS_00026,38,119295,home,3,3.8966832010816566,5.332953838202156,no,840,True,2025-09-20T15:12:05.965716,99.70693883414972
INS_00027,50,32131,health,3,1.980007342202541,8.388152458316869,no,752,True,2025-10-15T15:12:05.965717,50.03241233154979
INS_00028,29,41980,life,0,5.876272972414707,8.421351773958552,yes,774,True,2025-09-16T15:12:05.965718,82.94324083986177
INS_00029,39,44406,home,0,8.263066273008778,3.8542179236323886,no,597,True,2025-08-29T15:12:05.965719,92.38843262128259
INS_00030,61,27913,health,1,0.48869958707065564,1.0391167342685113,yes,829,True,2025-10-08T15:12:05.965720,82.64709686393802
INS_00031,42,60857,life,1,5.969512171607358,9.201211097123066,yes,801,True,2025-11-12T15:12:05.965721,79.65464561514644
INS_00032,66,66632,health,4,6.431737953393419,7.846252237776162,yes,670,True,2025-10-23T15:12:05.965722,88.55264006531286
INS_00033,44,54463,auto,1,6.023670393482796,1.96526761141124,yes,754,True,2025-08-15T15:12:05.965723,93.29717303157112
INS_00034,59,27719,auto,2,6.500336842370485,7.315543306027912,no,746,True,2025-09-19T15:12:05.965724,76.32721943720632
INS_00035,45,161408,health,1,6.313753076041545,1.1802094180199254,no,817,True,2025-09-30T15:12:05.965725,100.0
INS_00036,33,78795,auto,2,1.3040388498034905,1.2498316229862865,yes,687,True,2025-10-08T15:12:05.965726,100.0
INS_00037,32,223487,health,0,2.3493677694891533,5.732409156380583,yes,640,True,2025-10-24T15:12:05.965727,78.23250648870234
INS_00038,64,40032,life,4,6.189940052890101,1.8643368631271195,yes,660,True,2025-10-16T15:12:05.965728,100.0
INS_00039,68,96658,home,2,0.17693161136770774,9.67902870236427,yes,771,True,2025-09-30T15:12:05.965729,66.13305119313772
INS_00040,61,88400,health,0,6.347445187232444,9.044481039852363,no,546,False,2025-10-30T15:12:05.965730,65.65547454488839
INS_00041,72,51777,home,2,6.65386623785032,6.848308281230963,no,460,True,2025-11-01T15:12:05.965731,69.54315385575694
INS_00042,69,121239,home,3,2.391747598616585,1.5733807375448197,yes,771,True,2025-09-25T15:12:05.965732,94.33282770404263
INS_00043,74,48888,health,2,5.981328297531396,3.9235173202635862,yes,721,True,2025-10-31T15:12:05.965732,98.05447499529627
